time,P,G(i),H_sun,T2m,WS10m,Int
20230115:1010,26.05,44.32,20.86,5.99,0.62,0.0
20230115:1110,130.22,165.59,23.22,7.01,0.28,0.0
20230115:1210,25.12,43.41,22.84,7.59,0.34,0.0
20230115:1310,24.37,42.51,19.75,7.95,0.34,0.0
20230115:1410,20.18,37.08,14.32,7.97,0.48,0.0
20230115:1510,4.98,15.38,7.02,7.77,0.41,0.0
20230115:1610,0.0,0.0,0.0,7.39,0.55,0.0
20230115:1710,0.0,0.0,0.0,6.87,0.48,0.0
20230115:1810,0.0,0.0,0.0,6.8,0.21,0.0
20230115:1910,0.0,0.0,0.0,5.29,1.45,0.0
20230115:2010,0.0,0.0,0.0,4.71,1.66,0.0
20230115:2110,0.0,0.0,0.0,3.66,1.93,0.0
20230115:2210,0.0,0.0,0.0,3.33,2.0,0.0
20230115:2310,0.0,0.0,0.0,2.84,1.93,0.0
20230116:0010,0.0,0.0,0.0,2.19,1.79,0.0
20230116:0110,0.0,0.0,0.0,1.61,1.72,0.0
20230116:0210,0.0,0.0,0.0,0.93,1.59,0.0
20230116:0310,0.0,0.0,0.0,0.83,1.24,0.0
20230116:0410,0.0,0.0,0.0,0.47,1.1,0.0
20230116:0510,0.0,0.0,0.0,0.63,0.62,0.0
20230116:0610,0.0,0.0,0.0,0.93,0.14,0.0
20230116:0710,0.0,0.0,0.0,-0.79,0.9,0.0
20230116:0810,118.45,147.67,9.3,0.19,0.62,0.0
20230116:0910,30.22,48.84,16.16,2.44,1.1,0.0
20230116:1010,37.45,57.88,21.01,4.19,2.48,0.0
20230116:1110,104.31,134.65,23.4,4.97,2.55,0.0
20230116:1210,44.02,66.02,23.03,5.35,1.86,0.0
20230116:1310,19.75,36.18,19.96,5.66,1.59,0.0
20230116:1410,6.76,18.09,14.52,5.89,1.72,0.0
20230116:1510,23.01,40.32,7.22,5.64,1.79,0.0
20230116:1610,0.0,0.0,0.0,5.35,1.72,0.0
20230116:1710,0.0,0.0,0.0,5.04,1.45,0.0
20230116:1810,0.0,0.0,0.0,4.82,1.38,0.0
20230116:1910,0.0,0.0,0.0,5.02,1.17,0.0
20230116:2010,0.0,0.0,0.0,4.81,1.1,0.0
20230116:2110,0.0,0.0,0.0,4.49,1.03,0.0
20230116:2210,0.0,0.0,0.0,4.18,1.31,0.0
20230116:2310,0.0,0.0,0.0,3.82,1.24,0.0
20230117:0010,0.0,0.0,0.0,3.4,0.97,0.0
20230117:0110,0.0,0.0,0.0,3.06,0.97,0.0
20230117:0210,0.0,0.0,0.0,2.74,1.1,0.0
20230117:0310,0.0,0.0,0.0,2.35,1.03,0.0
20230117:0410,0.0,0.0,0.0,2.28,1.03,0.0
20230117:0510,0.0,0.0,0.0,2.09,0.9,0.0
20230117:0610,0.0,0.0,0.0,1.91,1.72,0.0
20230117:0710,0.0,0.0,0.0,3.57,1.86,0.0
20230117:0810,246.97,292.67,9.42,4.07,1.72,0.0
20230117:0910,59.12,83.44,16.3,4.65,1.52,0.0
20230117:1010,32.83,52.46,21.18,4.86,1.79,0.0
20230117:1110,16.42,31.66,23.59,4.62,2.62,0.0
20230117:1210,38.89,59.69,23.23,4.52,2.14,0.0
20230117:1310,38.9,59.69,20.16,4.35,1.52,0.0
20230117:1410,68.63,94.15,14.73,4.33,0.97,0.0
20230117:1510,13.08,27.13,7.43,4.33,0.9,0.0
20230117:1610,0.0,0.0,0.0,4.19,0.76,0.0
20230117:1710,0.0,0.0,0.0,4.03,0.9,0.0
20230117:1810,0.0,0.0,0.0,3.92,1.03,0.0
20230117:1910,0.0,0.0,0.0,3.81,0.76,0.0
20230117:2010,0.0,0.0,0.0,3.75,0.62,0.0
20230117:2110,0.0,0.0,0.0,3.55,1.1,0.0
20230117:2210,0.0,0.0,0.0,3.4,1.38,0.0
20230117:2310,0.0,0.0,0.0,3.2,1.59,0.0
20230118:0010,0.0,0.0,0.0,2.78,1.66,0.0
20230118:0110,0.0,0.0,0.0,2.23,1.59,0.0
20230118:0210,0.0,0.0,0.0,1.79,1.31,0.0
20230118:0310,0.0,0.0,0.0,1.1,1.1,0.0
20230118:0410,0.0,0.0,0.0,0.73,0.83,0.0
20230118:0510,0.0,0.0,0.0,0.33,0.97,0.0
20230118:0610,0.0,0.0,0.0,0.22,0.83,0.0
20230118:0710,0.0,0.0,0.0,-1.24,1.31,0.0
20230118:0810,249.23,289.75,9.54,-0.65,1.31,0.0
20230118:0910,301.39,350.13,16.45,2.07,0.69,0.0
20230118:1010,512.05,607.95,21.35,3.91,0.21,0.0
20230118:1110,676.16,832.43,23.78,5.43,0.21,0.0
20230118:1210,175.76,216.3,23.44,6.35,0.14,0.0
20230118:1310,118.94,152.54,20.38,6.85,0.34,0.0
20230118:1410,67.54,94.02,14.94,7.17,0.76,0.0
20230118:1510,88.88,118.21,7.63,7.01,0.76,0.0
20230118:1610,0.0,0.0,0.0,6.46,0.41,0.0
20230118:1710,0.0,0.0,0.0,5.76,0.41,0.0
20230118:1810,0.0,0.0,0.0,4.31,1.1,0.0
20230118:1910,0.0,0.0,0.0,4.13,0.62,0.0
20230118:2010,0.0,0.0,0.0,3.55,0.62,0.0
20230118:2110,0.0,0.0,0.0,2.07,1.1,0.0
20230118:2210,0.0,0.0,0.0,0.84,1.45,0.0
20230118:2310,0.0,0.0,0.0,0.26,1.52,0.0
20230119:0010,0.0,0.0,0.0,0.04,1.45,0.0
20230119:0110,0.0,0.0,0.0,-0.1,1.45,0.0
